Timestamp,Soil_Moisture_Smart,Soil_Moisture_Dumb,Event_Log,Water_Event_Reason,Water_Used_L
2025-12-27 20:19:04,55.13,58.59,Routine Check,,
2025-12-27 20:19:04,54.29,54.84,Routine Check,,
2025-12-27 20:19:05,53.68,53.38,Routine Check,,
2025-12-27 20:19:05,51.82,48.92,Routine Check,,
2025-12-27 20:19:06,50.09,44.75,Routine Check,,
2025-12-27 20:19:06,50.04,42.36,Routine Check,,
2025-12-27 20:19:07,46.42,37.59,Routine Check,,
2025-12-27 20:19:07,41.91,34.92,Routine Check,,
2025-12-27 20:19:10,39.97,31.09,WATER_SMART_EVENT,moisture too low on smart,1.0
2025-12-27 20:19:10,88.51,28.54,Routine Check,,
2025-12-27 20:19:11,87.72,23.82,Routine Check,,
2025-12-27 20:19:11,86.17,18.9,Routine Check,,
2025-12-27 20:19:12,85.15,17.65,Routine Check,,
2025-12-28 12:00:30,58.93,55.88,SYSTEM_BOOT,56460h 0m simulated (demo mode),
2025-12-28 12:00:30,56.84,55.35,Routine Check,,
2025-12-28 12:00:31,52.42,51.08,Routine Check,,
2025-12-28 12:00:31,49.26,47.73,Routine Check,,
2025-12-28 12:00:32,48.57,47.34,Routine Check,,
2025-12-28 12:00:32,44.16,46.93,Routine Check,,
2025-12-28 12:00:35,39.26,45.22,WATER_SMART_EVENT,moisture too low on smart,1.0
2025-12-28 12:00:35,89.06,40.57,Routine Check,,
2025-12-28 12:00:36,88.21,36.8,Routine Check,,
2025-12-28 12:00:36,86.64,33.23,Routine Check,,
2025-12-28 12:00:37,83.62,32.2,Routine Check,,
2025-12-28 12:00:37,80.94,27.48,Routine Check,,
2025-12-28 12:00:38,77.02,27.32,Routine Check,,
2025-12-28 12:00:38,72.79,24.85,Routine Check,,
2025-12-28 12:00:39,70.55,21.4,Routine Check,,
2025-12-28 12:00:39,68.57,16.91,Routine Check,,
2025-12-28 12:00:40,66.97,16.67,Routine Check,,
2025-12-28 12:00:40,62.72,14.82,Routine Check,,
2025-12-28 12:00:41,59.92,12.6,Routine Check,,
2025-12-28 12:00:41,59.42,7.87,Routine Check,,
2025-12-28 12:00:42,54.58,7.74,Routine Check,,
2025-12-28 12:00:42,51.08,5.71,Routine Check,,
2025-12-28 12:00:43,50.85,3.77,Routine Check,,
2025-12-28 12:00:44,46.75,1.36,Routine Check,,
2025-12-28 12:00:44,42.4,0,Routine Check,,
2025-12-28 12:00:45,40.35,0,Routine Check,,
2025-12-28 12:00:47,37.4,0,WATER_SMART_EVENT,moisture too low on smart,1.0
2025-12-28 12:00:48,86.72,0,Routine Check,,
2025-12-28 12:00:48,85.68,0,Routine Check,,
2025-12-28 12:00:49,81.26,0,Routine Check,,
2025-12-28 12:00:49,78.15,0,Routine Check,,
2025-12-28 12:00:50,76.7,0,Routine Check,,
2025-12-28 12:00:50,74.97,0,Routine Check,,
2025-12-28 12:00:51,73.02,0,Routine Check,,
2025-12-28 12:00:51,69.64,0,Routine Check,,
2025-12-28 12:00:52,67.17,0,Routine Check,,
2025-12-28 12:00:52,64.93,0,Routine Check,,
2025-12-28 12:00:53,61.74,0,Routine Check,,
2025-12-28 12:00:53,58.27,0,Routine Check,,
2025-12-28 12:00:54,55.94,0,Routine Check,,
