,,,,,
WATER CONSUMPTION & EFFICIENCY METRICS,,,,,
Report Generated,2025-12-28 21:47:25,,,,
Runtime (days),0.41,,,,
Runtime (hours),9.78,,,,
,,,,,
SMART SYSTEM (Moisture-based),,,,,
Total Water Used (L),2735.00,,,,
Watering Events,2735,,,,
Avg Water per Event (L),1.00,,,,
Daily Average (L/day),6710.41,,,,
,,,,,
DUMB SYSTEM (Timer-based),,,,,
Total Water Used (L),730.00,,,,
Watering Events,730,,,,
Avg Water per Event (L),1.00,,,,
Daily Average (L/day),1791.08,,,,
,,,,,
COMBINED METRICS,,,,,
Total Water Used (L),3465.00,,,,
Smart vs Dumb Usage (L),2735.00 vs 730.00,,,,
,,,,,
WATER CONSUMPTION & EFFICIENCY METRICS,,,,,
Report Generated,2025-12-28 22:10:23,,,,
Runtime (days),0.00,,,,
Runtime (hours),0.00,,,,
,,,,,
SMART SYSTEM (Moisture-based),,,,,
Total Water Used (L),0.00,,,,
Watering Events,0,,,,
Avg Water per Event (L),0.00,,,,
Daily Average (L/day),0.00,,,,
,,,,,
DUMB SYSTEM (Timer-based),,,,,
Total Water Used (L),0.00,,,,
Watering Events,0,,,,
Avg Water per Event (L),0.00,,,,
Daily Average (L/day),0.00,,,,
,,,,,
COMBINED METRICS,,,,,
Total Water Used (L),0.00,,,,
Smart vs Dumb Usage (L),0.00 vs 0.00,,,,
,,,,,
WATER CONSUMPTION & EFFICIENCY METRICS,,,,,
Report Generated,2025-12-29 12:00:17,,,,
Runtime (days),0.00,,,,
Runtime (hours),0.00,,,,
,,,,,
SMART SYSTEM (Moisture-based),,,,,
Total Water Used (L),2.00,,,,
Watering Events,2,,,,
Avg Water per Event (L),1.00,,,,
Daily Average (L/day),200.00,,,,
,,,,,
DUMB SYSTEM (Timer-based),,,,,
Total Water Used (L),0.00,,,,
Watering Events,0,,,,
Avg Water per Event (L),0.00,,,,
Daily Average (L/day),0.00,,,,
,,,,,
COMBINED METRICS,,,,,
Total Water Used (L),2.00,,,,
Smart vs Dumb Usage (L),2.00 vs 0.00,,,,
,,,,,
WATER CONSUMPTION & EFFICIENCY METRICS,,,,,
Report Generated,2026-01-01 16:02:25,,,,
Runtime (days),2.25,,,,
Runtime (hours),54.02,,,,
,,,,,
SMART SYSTEM (Moisture-based),,,,,
Total Water Used (L),15111.00,,,,
Watering Events,15111,,,,
Avg Water per Event (L),1.00,,,,
Daily Average (L/day),6713.89,,,,
,,,,,
DUMB SYSTEM (Timer-based),,,,,
Total Water Used (L),4030.00,,,,
Watering Events,4030,,,,
Avg Water per Event (L),1.00,,,,
Daily Average (L/day),1790.55,,,,
,,,,,
COMBINED METRICS,,,,,
Total Water Used (L),19141.00,,,,
Smart vs Dumb Usage (L),15111.00 vs 4030.00,,,,
